,week_num,week_obs,consp,consp_prop
0,1,12960,1325,10.223765432098766
1,2,15766,1392,8.829125967271343
2,3,14552,1416,9.730621220450796
3,4,16086,1574,9.784906129553649
4,5,14165,1376,9.714084009883516
5,6,12183,1082,8.881227940572929
6,7,11656,1050,9.008236101578586
7,8,15224,1544,10.141881240147136
8,9,21385,1794,8.389057750759878
9,10,22723,1849,8.137129780398714
10,11,413345,46006,11.13016971295165
11,12,117188,12010,10.248489606444346
12,13,222637,27905,12.533855558599873
13,14,26769,2568,9.59318614815645
14,15,429261,53516,12.4670072519982
